lang,type,N,median_avg_ns,runs
C,double,10,25.440000,5
C,double,100,267.360000,5
C,double,1000,2778.050000,5
C,double,10000,28294.500000,5
C,double,100000,286700.000000,5
C,double,1000000,2941650.000000,5
C,double,10000000,31159500.000000,5
C,double,100000000,339567000.000000,5
C,float,10,25.460000,5
C,float,100,269.240000,5
C,float,1000,2803.900000,5
C,float,10000,28590.500000,5
C,float,100000,284320.000000,5
C,float,1000000,3002200.000000,5
C,float,10000000,29208000.000000,5
C,float,100000000,320614000.000000,5
C,int,10,23.140000,5
C,int,100,167.090000,5
C,int,1000,1579.400000,5
C,int,10000,15814.000000,5
C,int,100000,165995.000000,5
C,int,1000000,1761000.000000,5
C,int,10000000,18013500.000000,5
C,int,100000000,187555000.000000,5
C,short,10,23.140000,5
C,short,100,170.070000,5
C,short,1000,1595.500000,5
C,short,10000,16216.500000,5
C,short,100000,167405.000000,5
C,short,1000000,1715200.000000,5
C,short,10000000,16974500.000000,5
C,short,100000000,176069000.000000,5
C,signed_char,10,23.230000,5
C,signed_char,100,170.400000,5
C,signed_char,1000,1598.750000,5
C,signed_char,10000,16249.000000,5
C,signed_char,100000,161380.000000,5
C,signed_char,1000000,1679100.000000,5
C,signed_char,10000000,17827500.000000,5
C,signed_char,100000000,178220000.000000,5
