lang,type,N,avg_ns
C,signed_char,10,23.230000000000
C,signed_char,100,166.590000000000
C,signed_char,1000,1563.900000000000
C,signed_char,10000,16249.000000000000
C,signed_char,100000,169715.000000000000
C,signed_char,1000000,1729050.000000000000
C,signed_char,10000000,17661500.000000000000
C,signed_char,100000000,179133000.000000000000
C,short,10,23.200000000000
C,short,100,170.500000000000
C,short,1000,1609.700000000000
C,short,10000,16700.500000000000
C,short,100000,167405.000000000000
C,short,1000000,1633750.000000000000
C,short,10000000,17131500.000000000000
C,short,100000000,178055000.000000000000
C,int,10,23.290000000000
C,int,100,167.790000000000
C,int,1000,1561.300000000000
C,int,10000,18587.000000000000
C,int,100000,165995.000000000000
C,int,1000000,1677150.000000000000
C,int,10000000,18013500.000000000000
C,int,100000000,186190000.000000000000
C,float,10,25.200000000000
C,float,100,269.240000000000
C,float,1000,2787.350000000000
C,float,10000,28871.500000000000
C,float,100000,283940.000000000000
C,float,1000000,2954000.000000000000
C,float,10000000,29208000.000000000000
C,float,100000000,320614000.000000000000
C,double,10,25.830000000000
C,double,100,269.010000000000
C,double,1000,2771.750000000000
C,double,10000,29017.500000000000
C,double,100000,286700.000000000000
C,double,1000000,2932700.000000000000
C,double,10000000,31034500.000000000000
C,double,100000000,339567000.000000000000
