lang,type,N,reps,total_ns,avg_ns,checksum
C,signed_char,10,2000000,16818000,8.41,-250000000
C,signed_char,100,200000,10378000,51.89,-359200000
C,signed_char,1000,20000,7908000,395.40,-345260000
C,signed_char,10000,2000,7650000,3825.00,-356770000
C,signed_char,100000,200,47914000,239570.00,-347166400
C,signed_char,1000000,20,7645000,382250.00,-348140220
C,signed_char,10000000,2,10104000,5052000.00,-348206136
C,signed_char,100000000,1,48655000,48655000.00,-348616112
C,short,10,2000000,9453000,4.73,-923614616112
C,short,100,200000,8039000,40.20,-1401744816112
C,short,1000,20000,7689000,384.45,-870313296112
C,short,10000,2000,7602000,3801.00,-805490530112
C,short,100000,200,8525000,42625.00,-834381747512
C,short,1000000,20,8523000,426150.00,-848650115952
C,short,10000000,2,9762000,4881000.00,-848705383904
C,short,100000000,1,54806000,54806000.00,-849059864573
C,int,10,2000000,9380000,4.69,-1209262229715864573
C,int,100,200000,7599000,37.99,-1084038569968864573
C,int,1000,20000,7625000,381.25,-1390965931732164573
C,int,10000,2000,7910000,3955.00,-1457346695270218573
C,int,100000,200,8018000,40090.00,-1444455240526856773
C,int,1000000,20,10025000,501250.00,-1439537793917504293
C,int,10000000,2,12356000,6178000.00,-1436380432477685299
C,int,100000000,1,80015000,80015000.00,-1430386456639938164
C,float,10,2000000,15555000,7.78,1519362.421706
C,float,100,200000,22200000,111.00,1709330.855310
C,float,1000,20000,24678000,1233.90,2002245.513760
C,float,10000,2000,25962000,12981.00,2091637.019075
C,float,100000,200,26225000,131125.00,2109651.697204
C,float,1000000,20,27935000,1396750.00,2102934.703357
C,float,10000000,2,27567000,13783500.00,2100367.604967
C,float,100000000,1,152427000,152427000.00,2098426.009423
C,double,10,2000000,8941000,4.47,1647676.142759
C,double,100,200000,15849000,79.25,2388932.985149
C,double,1000,20000,23575000,1178.75,2344588.932216
C,double,10000,2000,25176000,12588.00,2388113.952215
C,double,100000,200,25835000,129175.00,2405788.834276
C,double,1000000,20,26849000,1342450.00,2403222.380152
C,double,10000000,2,29080000,14540000.00,2403048.033911
C,double,100000000,1,330876000,330876000.00,2398392.933472
