lang,type,N,avg_ns
C,signed_char,10,5.010000000000
C,signed_char,100,41.700000000000
C,signed_char,1000,432.700000000000
C,signed_char,10000,4865.000000000000
C,signed_char,100000,44480.000000000000
C,signed_char,1000000,464700.000000000000
C,signed_char,10000000,4314000.000000000000
C,signed_char,100000000,46574000.000000000000
C,short,10,4.740000000000
C,short,100,41.830000000000
C,short,1000,408.850000000000
C,short,10000,3888.500000000000
C,short,100000,40495.000000000000
C,short,1000000,432750.000000000000
C,short,10000000,4677000.000000000000
C,short,100000000,52830000.000000000000
C,int,10,4.830000000000
C,int,100,37.450000000000
C,int,1000,379.450000000000
C,int,10000,3797.000000000000
C,int,100000,38265.000000000000
C,int,1000000,490450.000000000000
C,int,10000000,5621500.000000000000
C,int,100000000,75992000.000000000000
C,float,10,7.730000000000
C,float,100,111.530000000000
C,float,1000,1231.200000000000
C,float,10000,12431.000000000000
C,float,100000,124665.000000000000
C,float,1000000,1340550.000000000000
C,float,10000000,13943000.000000000000
C,float,100000000,150763000.000000000000
C,double,10,4.730000000000
C,double,100,78.640000000000
C,double,1000,1183.150000000000
C,double,10000,12431.500000000000
C,double,100000,125205.000000000000
C,double,1000000,1330250.000000000000
C,double,10000000,14498500.000000000000
C,double,100000000,171032000.000000000000
