lang,type,N,avg_ns
C,signed_char,10,7.660000000000
C,signed_char,100,62.960000000000
C,signed_char,1000,585.150000000000
C,signed_char,10000,5699.000000000000
C,signed_char,100000,62520.000000000000
C,signed_char,1000000,718600.000000000000
C,signed_char,10000000,6282000.000000000000
C,signed_char,100000000,69152000.000000000000
C,short,10,5.350000000000
C,short,100,68.920000000000
C,short,1000,599.450000000000
C,short,10000,6221.000000000000
C,short,100000,65650.000000000000
C,short,1000000,630950.000000000000
C,short,10000000,7388000.000000000000
C,short,100000000,73805000.000000000000
C,int,10,7.570000000000
C,int,100,64.350000000000
C,int,1000,593.400000000000
C,int,10000,5903.500000000000
C,int,100000,60995.000000000000
C,int,1000000,691850.000000000000
C,int,10000000,7446500.000000000000
C,int,100000000,83591000.000000000000
C,float,10,8.330000000000
C,float,100,112.460000000000
C,float,1000,1229.150000000000
C,float,10000,12299.000000000000
C,float,100000,126050.000000000000
C,float,1000000,1352450.000000000000
C,float,10000000,13395500.000000000000
C,float,100000000,156719000.000000000000
C,double,10,7.730000000000
C,double,100,81.430000000000
C,double,1000,1191.500000000000
C,double,10000,12702.500000000000
C,double,100000,126015.000000000000
C,double,1000000,1384600.000000000000
C,double,10000000,14677500.000000000000
C,double,100000000,176190000.000000000000
