lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,18101537,9.05,-374030363170000
JavaVector,signed_char,100,200000,9923969,49.62,-374030292970000
JavaVector,signed_char,1000,20000,8401225,420.06,-374030273470000
JavaVector,signed_char,10000,2000,8236639,4118.32,-374030284084000
JavaVector,signed_char,100000,200,8349285,41746.43,-374030285408400
JavaVector,signed_char,1000000,20,14093701,704685.05,-374030285402940
JavaVector,signed_char,10000000,2,14633766,7316883.00,-374030286183352
JavaVector,signed_char,100000000,1,75066039,75066039.00,-374030286567259
JavaVector,short,10,2000000,19448306,9.72,-373052112567259
JavaVector,short,100,200000,11116511,55.58,-373001594167259
JavaVector,short,1000,20000,8589863,429.49,-373096496367259
JavaVector,short,10000,2000,8725052,4362.53,-373060137543259
JavaVector,short,100000,200,8759416,43797.08,-373023809981059
JavaVector,short,1000000,20,10888591,544429.55,-373026410792699
JavaVector,short,10000000,2,10615302,5307651.00,-373024098547367
JavaVector,short,100000000,1,50958927,50958927.00,-373020377672475
JavaVector,int,10,2000000,17747601,8.87,-1605160608923672475
JavaVector,int,100,200000,9954178,49.77,-1576671207743672475
JavaVector,int,1000,20000,8963751,448.19,-1333369834322432475
JavaVector,int,10000,2000,8249672,4124.84,-1341280413219386475
JavaVector,int,100000,200,8447866,42239.33,-1348761053089024275
JavaVector,int,1000000,20,11124572,556228.60,-1348323743202163375
JavaVector,int,10000000,2,11482190,5741095.00,-1351463425100254495
JavaVector,int,100000000,1,59388215,59388215.00,-1352371752719832650
JavaVector,float,10,2000000,35000135,17.50,-2399980.996720
JavaVector,float,100,200000,5240824,26.20,-2113224.383820
JavaVector,float,1000,20000,2393066,119.65,-2330813.743103
JavaVector,float,10000,2000,3059775,1529.89,-2279918.452728
JavaVector,float,100000,200,3530349,17651.75,-2278106.225289
JavaVector,float,1000000,20,6662918,333145.90,-2282197.054756
JavaVector,float,10000000,2,10505660,5252830.00,-2279632.987374
JavaVector,float,100000000,1,45067200,45067200.00,-2280508.150154
JavaVector,double,10,2000000,18628427,9.31,-1934530.193141
JavaVector,double,100,200000,4225879,21.13,-1971725.023926
JavaVector,double,1000,20000,5653614,282.68,-1889264.049221
JavaVector,double,10000,2000,6227312,3113.66,-1838162.822408
JavaVector,double,100000,200,6746883,33734.42,-1847050.257850
JavaVector,double,1000000,20,16436463,821823.15,-1836365.692440
JavaVector,double,10000000,2,18440642,9220321.00,-1836016.407984
JavaVector,double,100000000,1,101245306,101245306.00,-1830589.639622
