lang,type,N,median_avg_ns,runs
C,double,10,7.780000,5
C,double,100,81.430000,5
C,double,1000,1191.500000,5
C,double,10000,12484.500000,5
C,double,100000,127400.000000,5
C,double,1000000,1364950.000000,5
C,double,10000000,15469500.000000,5
C,double,100000000,176190000.000000,5
C,float,10,8.330000,5
C,float,100,113.180000,5
C,float,1000,1224.800000,5
C,float,10000,12403.500000,5
C,float,100000,125185.000000,5
C,float,1000000,1352450.000000,5
C,float,10000000,13632500.000000,5
C,float,100000000,155730000.000000,5
C,int,10,7.530000,5
C,int,100,65.940000,5
C,int,1000,583.950000,5
C,int,10000,5817.500000,5
C,int,100000,58940.000000,5
C,int,1000000,677600.000000,5
C,int,10000000,7487500.000000,5
C,int,100000000,84458000.000000,5
C,short,10,5.320000,5
C,short,100,68.950000,5
C,short,1000,605.500000,5
C,short,10000,6069.000000,5
C,short,100000,70215.000000,5
C,short,1000000,641750.000000,5
C,short,10000000,7060000.000000,5
C,short,100000000,75113000.000000,5
C,signed_char,10,7.860000,5
C,signed_char,100,65.320000,5
C,signed_char,1000,585.150000,5
C,signed_char,10000,5759.500000,5
C,signed_char,100000,62520.000000,5
C,signed_char,1000000,674650.000000,5
C,signed_char,10000000,6282000.000000,5
C,signed_char,100000000,68919000.000000,5
