lang,type,N,avg_ns
C,signed_char,10,4.690000000000
C,signed_char,100,41.850000000000
C,signed_char,1000,384.950000000000
C,signed_char,10000,3857.000000000000
C,signed_char,100000,43905.000000000000
C,signed_char,1000000,407500.000000000000
C,signed_char,10000000,4173500.000000000000
C,signed_char,100000000,45504000.000000000000
C,short,10,5.030000000000
C,short,100,40.410000000000
C,short,1000,421.900000000000
C,short,10000,4001.500000000000
C,short,100000,43505.000000000000
C,short,1000000,406850.000000000000
C,short,10000000,4454000.000000000000
C,short,100000000,53548000.000000000000
C,int,10,4.630000000000
C,int,100,38.330000000000
C,int,1000,369.700000000000
C,int,10000,3887.000000000000
C,int,100000,39340.000000000000
C,int,1000000,470950.000000000000
C,int,10000000,5585500.000000000000
C,int,100000000,73353000.000000000000
C,float,10,7.830000000000
C,float,100,112.050000000000
C,float,1000,1233.350000000000
C,float,10000,12369.000000000000
C,float,100000,127285.000000000000
C,float,1000000,1386700.000000000000
C,float,10000000,14117500.000000000000
C,float,100000000,151709000.000000000000
C,double,10,4.370000000000
C,double,100,78.940000000000
C,double,1000,1200.650000000000
C,double,10000,12536.500000000000
C,double,100000,125945.000000000000
C,double,1000000,1345250.000000000000
C,double,10000000,14602000.000000000000
C,double,100000000,164113000.000000000000
