lang,type,N,mean_avg_ns,runs
C,double,10,4.574000,5
C,double,100,77.660000,5
C,double,1000,1183.170000,5
C,double,10000,12495.300000,5
C,double,100000,127855.000000,5
C,double,1000000,1324240.000000,5
C,double,10000000,14400400.000000,5
C,double,100000000,175760200.000000,5
C,float,10,7.830000,5
C,float,100,111.668000,5
C,float,1000,1226.270000,5
C,float,10000,12572.400000,5
C,float,100000,125367.000000,5
C,float,1000000,1376910.000000,5
C,float,10000000,13975700.000000,5
C,float,100000000,151540800.000000,5
C,int,10,4.722000,5
C,int,100,37.866000,5
C,int,1000,382.470000,5
C,int,10000,3845.900000,5
C,int,100000,39266.000000,5
C,int,1000000,491630.000000,5
C,int,10000000,5691400.000000,5
C,int,100000000,74855600.000000,5
C,short,10,4.826000,5
C,short,100,40.740000,5
C,short,1000,390.950000,5
C,short,10000,4097.200000,5
C,short,100000,40703.000000,5
C,short,1000000,409010.000000,5
C,short,10000000,4512100.000000,5
C,short,100000000,54201200.000000,5
C,signed_char,10,5.180000,5
C,signed_char,100,42.678000,5
C,signed_char,1000,398.970000,5
C,signed_char,10000,4131.500000,5
C,signed_char,100000,41591.000000,5
C,signed_char,1000000,454560.000000,5
C,signed_char,10000000,4279700.000000,5
C,signed_char,100000000,46890200.000000,5
