lang,type,N,mean_avg_ns,runs
C,double,10,25.566000,5
C,double,100,267.046000,5
C,double,1000,2789.410000,5
C,double,10000,28534.700000,5
C,double,100000,290847.000000,5
C,double,1000000,3010590.000000,5
C,double,10000000,32009100.000000,5
C,double,100000000,355662400.000000,5
C,float,10,25.450000,5
C,float,100,269.076000,5
C,float,1000,2800.520000,5
C,float,10000,28596.600000,5
C,float,100000,285723.000000,5
C,float,1000000,2987900.000000,5
C,float,10000000,29245500.000000,5
C,float,100000000,333842800.000000,5
C,int,10,23.228000,5
C,int,100,166.904000,5
C,int,1000,2701.470000,5
C,int,10000,16311.500000,5
C,int,100000,170723.000000,5
C,int,1000000,2606610.000000,5
C,int,10000000,18758800.000000,5
C,int,100000000,195917000.000000,5
C,short,10,23.222000,5
C,short,100,171.016000,5
C,short,1000,1593.470000,5
C,short,10000,16318.900000,5
C,short,100000,168789.000000,5
C,short,1000000,1708920.000000,5
C,short,10000000,18580300.000000,5
C,short,100000000,179556000.000000,5
C,signed_char,10,23.940000,5
C,signed_char,100,170.718000,5
C,signed_char,1000,1595.090000,5
C,signed_char,10000,16107.500000,5
C,signed_char,100000,169737.000000,5
C,signed_char,1000000,1727420.000000,5
C,signed_char,10000000,17763600.000000,5
C,signed_char,100000000,177315600.000000,5
