lang,type,N,mean_avg_ns,runs
C,double,10,4.422000,5
C,double,100,77.950000,5
C,double,1000,1192.750000,5
C,double,10000,12580.200000,5
C,double,100000,126390.000000,5
C,double,1000000,1324540.000000,5
C,double,10000000,14720600.000000,5
C,double,100000000,168648600.000000,5
C,float,10,7.812000,5
C,float,100,110.638000,5
C,float,1000,1237.490000,5
C,float,10000,12532.200000,5
C,float,100000,126682.000000,5
C,float,1000000,1365230.000000,5
C,float,10000000,14078000.000000,5
C,float,100000000,151337400.000000,5
C,int,10,4.702000,5
C,int,100,38.060000,5
C,int,1000,383.210000,5
C,int,10000,3880.400000,5
C,int,100000,39693.000000,5
C,int,1000000,495200.000000,5
C,int,10000000,5712700.000000,5
C,int,100000000,74409400.000000,5
C,short,10,5.204000,5
C,short,100,42.228000,5
C,short,1000,409.410000,5
C,short,10000,4046.100000,5
C,short,100000,42229.000000,5
C,short,1000000,450030.000000,5
C,short,10000000,5190900.000000,5
C,short,100000000,51343400.000000,5
C,signed_char,10,5.734000,5
C,signed_char,100,45.426000,5
C,signed_char,1000,395.360000,5
C,signed_char,10000,3874.600000,5
C,signed_char,100000,40779.000000,5
C,signed_char,1000000,421310.000000,5
C,signed_char,10000000,4153800.000000,5
C,signed_char,100000000,49341400.000000,5
