n,plain_s,improved_s,openblas_s,plain_gflops,improved_gflops,openblas_gflops,speedup_over_plain,speedup_vs_openblas,max_abs_diff_plain,max_rel_diff_plain,max_abs_diff_openblas,max_rel_diff_openblas
16,0.000002146,0.000000954,0.000000001,3.817749,8.589935,8192.000000,2.250000,0.001049,4.768371582e-07,2.633582699e-05,3.576278687e-07,1.524705749e-05
128,0.000259876,0.000437975,0.000070095,16.139620,9.576585,59.837367,0.593359,0.160044,6.675720215e-06,7.740441943e-04,3.814697266e-06,1.252983348e-03
