lang,type,N,avg_ns
C,signed_char,10,7.860000000000
C,signed_char,100,65.320000000000
C,signed_char,1000,586.550000000000
C,signed_char,10000,5712.500000000000
C,signed_char,100000,62575.000000000000
C,signed_char,1000000,641550.000000000000
C,signed_char,10000000,7269000.000000000000
C,signed_char,100000000,67837000.000000000000
C,short,10,5.320000000000
C,short,100,69.340000000000
C,short,1000,615.300000000000
C,short,10000,6069.000000000000
C,short,100000,62870.000000000000
C,short,1000000,654250.000000000000
C,short,10000000,6757500.000000000000
C,short,100000000,74864000.000000000000
C,int,10,7.500000000000
C,int,100,65.330000000000
C,int,1000,585.550000000000
C,int,10000,6015.000000000000
C,int,100000,57100.000000000000
C,int,1000000,671450.000000000000
C,int,10000000,7056000.000000000000
C,int,100000000,84458000.000000000000
C,float,10,8.160000000000
C,float,100,116.410000000000
C,float,1000,1224.800000000000
C,float,10000,12626.500000000000
C,float,100000,124290.000000000000
C,float,1000000,1365900.000000000000
C,float,10000000,13764000.000000000000
C,float,100000000,155412000.000000000000
C,double,10,7.780000000000
C,double,100,81.790000000000
C,double,1000,1192.650000000000
C,double,10000,12361.000000000000
C,double,100000,127630.000000000000
C,double,1000000,1370800.000000000000
C,double,10000000,14647000.000000000000
C,double,100000000,182724000.000000000000
