lang,type,N,avg_ns
C,signed_char,10,26.800000000000
C,signed_char,100,170.010000000000
C,signed_char,1000,1580.400000000000
C,signed_char,10000,16372.500000000000
C,signed_char,100000,160820.000000000000
C,signed_char,1000000,1667000.000000000000
C,signed_char,10000000,17960000.000000000000
C,signed_char,100000000,183253000.000000000000
C,short,10,23.830000000000
C,short,100,178.940000000000
C,short,1000,1609.300000000000
C,short,10000,16533.500000000000
C,short,100000,178305.000000000000
C,short,1000000,1815850.000000000000
C,short,10000000,25022500.000000000000
C,short,100000000,195865000.000000000000
C,int,10,23.110000000000
C,int,100,167.090000000000
C,int,1000,1569.350000000000
C,int,10000,16005.500000000000
C,int,100000,160435.000000000000
C,int,1000000,1761000.000000000000
C,int,10000000,18370000.000000000000
C,int,100000000,222086000.000000000000
C,float,10,25.480000000000
C,float,100,268.260000000000
C,float,1000,2822.300000000000
C,float,10000,28590.500000000000
C,float,100000,284320.000000000000
C,float,1000000,3002200.000000000000
C,float,10000000,29480500.000000000000
C,float,100000000,398323000.000000000000
C,double,10,26.230000000000
C,double,100,268.990000000000
C,double,1000,2800.400000000000
C,double,10000,29073.000000000000
C,double,100000,307430.000000000000
C,double,1000000,3188850.000000000000
C,double,10000000,34644500.000000000000
C,double,100000000,418440000.000000000000
