lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,21771354,10.89,-374030363170000
JavaVector,signed_char,100,200000,11558244,57.79,-374030292970000
JavaVector,signed_char,1000,20000,11039732,551.99,-374030273470000
JavaVector,signed_char,10000,2000,11735923,5867.96,-374030284084000
JavaVector,signed_char,100000,200,13621588,68107.94,-374030285408400
JavaVector,signed_char,1000000,20,14462956,723147.80,-374030285402940
JavaVector,signed_char,10000000,2,15933601,7966800.50,-374030286183352
JavaVector,signed_char,100000000,1,73023395,73023395.00,-374030286567259
JavaVector,short,10,2000000,18409555,9.20,-373052112567259
JavaVector,short,100,200000,11693392,58.47,-373001594167259
JavaVector,short,1000,20000,8641366,432.07,-373096496367259
JavaVector,short,10000,2000,9211525,4605.76,-373060137543259
JavaVector,short,100000,200,10148788,50743.94,-373023809981059
JavaVector,short,1000000,20,10479945,523997.25,-373026410792699
JavaVector,short,10000000,2,9973088,4986544.00,-373024098547367
JavaVector,short,100000000,1,58472204,58472204.00,-373020377672475
JavaVector,int,10,2000000,20201935,10.10,-1605160608923672475
JavaVector,int,100,200000,14996352,74.98,-1576671207743672475
JavaVector,int,1000,20000,13212805,660.64,-1333369834322432475
JavaVector,int,10000,2000,11483837,5741.92,-1341280413219386475
JavaVector,int,100000,200,10658314,53291.57,-1348761053089024275
JavaVector,int,1000000,20,21814256,1090712.80,-1348323743202163375
JavaVector,int,10000000,2,16629360,8314680.00,-1351463425100254495
JavaVector,int,100000000,1,87349439,87349439.00,-1352371752719832650
JavaVector,float,10,2000000,63823817,31.91,-2399980.996720
JavaVector,float,100,200000,5575262,27.88,-2113224.383820
JavaVector,float,1000,20000,3791520,189.58,-2330813.743103
JavaVector,float,10000,2000,4368444,2184.22,-2279918.452728
JavaVector,float,100000,200,3290990,16454.95,-2278106.225289
JavaVector,float,1000000,20,42340424,2117021.20,-2282197.054756
JavaVector,float,10000000,2,9847972,4923986.00,-2279632.987374
JavaVector,float,100000000,1,45015712,45015712.00,-2280508.150154
JavaVector,double,10,2000000,18921490,9.46,-1934530.193141
JavaVector,double,100,200000,4188938,20.94,-1971725.023926
JavaVector,double,1000,20000,5642181,282.11,-1889264.049221
JavaVector,double,10000,2000,6235745,3117.87,-1838162.822408
JavaVector,double,100000,200,6803429,34017.15,-1847050.257850
JavaVector,double,1000000,20,18411526,920576.30,-1836365.692440
JavaVector,double,10000000,2,20705178,10352589.00,-1836016.407984
JavaVector,double,100000000,1,205778191,205778191.00,-1830589.639622
