type,N,mac_avg_ns,series,win_avg_ns,win_over_mac,mac_over_win
short,10,4.97,C-Ofast,2.14,0.43058350100603626,2.3224299065420557
short,100,40.57,C-Ofast,13.12,0.3233916687207296,3.0922256097560976
short,1000,396.0,C-Ofast,137.96,0.3483838383838384,2.870397216584517
short,10000,3962.0,C-Ofast,1318.2,0.33271075214538115,3.005613715672887
short,100000,40000.0,C-Ofast,13520.0,0.338,2.9585798816568047
short,1000000,431150.0,C-Ofast,155745.0,0.3612315899338977,2.768307168769463
short,10000000,5109000.0,C-Ofast,1916300.0,0.3750831865335682,2.6660752491781037
short,100000000,56953000.0,C-Ofast,18881900.0,0.33153477428757044,3.016274845222144
short,10,9.33,Java,6.04,0.647374062165059,1.544701986754967
short,100,53.64,Java,23.71,0.44202087994034306,2.2623365668494304
short,1000,459.29,Java,225.03,0.4899518822530427,2.0410167533217796
short,10000,4301.54,Java,2144.35,0.498507511263408,2.0059878284794928
short,100000,44372.44,Java,21348.0,0.48110944541251277,2.0785291362188496
short,1000000,518957.8,Java,232915.0,0.44881298633530514,2.2280995212845887
short,10000000,5257828.5,Java,2785800.0,0.5298385065241288,1.8873675425371528
short,100000000,52652154.0,Java,27031400.0,0.5133959001943207,1.947814541607168
int,10,4.82,C-Ofast,3.09,0.6410788381742738,1.5598705501618124
int,100,39.52,C-Ofast,30.14,0.7626518218623481,1.3112143331121433
int,1000,393.55,C-Ofast,246.52,0.626400711472494,1.5964221969819892
int,10000,3970.5,C-Ofast,2219.75,0.5590605717164085,1.7887149453767317
int,100000,41960.0,C-Ofast,22113.5,0.5270138226882746,1.8974834377190404
int,1000000,580300.0,C-Ofast,240890.0,0.4151128726520765,2.4089833533978164
int,10000000,5949500.0,C-Ofast,3800400.0,0.6387763677619968,1.5654931059888433
int,100000000,83291000.0,C-Ofast,37366200.0,0.44862230012846527,2.229046571500447
int,10,9.14,Java,5.89,0.6444201312910284,1.5517826825127337
int,100,50.63,Java,11.26,0.22239778787280268,4.496447602131439
int,1000,469.88,Java,108.12,0.2301013024602026,4.345911949685535
int,10000,4507.99,Java,1045.5,0.23192154374787877,4.311802965088474
int,100000,42909.32,Java,10561.5,0.2461353384299728,4.062805472707475
int,1000000,591600.7,Java,131170.0,0.22172049492165918,4.510182968666616
int,10000000,6383043.5,Java,2944000.0,0.46122198603221176,2.168153362771739
int,100000000,61565532.0,Java,28959600.0,0.4703865792957007,2.125910993245763
float,10,5.81,C-Ofast,3.22,0.5542168674698796,1.8043478260869563
float,100,33.3,C-Ofast,32.74,0.9831831831831833,1.0171044593769087
float,1000,319.1,C-Ofast,325.6,1.020369790034472,0.980036855036855
float,10000,3311.0,C-Ofast,3259.5,0.9844457867713682,1.015799969320448
float,100000,33275.0,C-Ofast,32513.0,0.9770999248685199,1.0234367791345
float,1000000,472900.0,C-Ofast,345530.0,0.7306618735462043,1.368622116748184
float,10000000,4758000.0,C-Ofast,4172200.0,0.8768810424548129,1.1404055414409664
