lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,11906000,5.95,-374030363170000
JavaVector,signed_char,100,200000,4874700,24.37,-374030292970000
JavaVector,signed_char,1000,20000,4350900,217.55,-374030273470000
JavaVector,signed_char,10000,2000,4454100,2227.05,-374030284084000
JavaVector,signed_char,100000,200,4324600,21623.00,-374030285408400
JavaVector,signed_char,1000000,20,4405000,220250.00,-374030285402940
JavaVector,signed_char,10000000,2,4559200,2279600.00,-374030286183352
JavaVector,signed_char,100000000,1,22583600,22583600.00,-374030286567259
JavaVector,short,10,2000000,12011300,6.01,-373052112567259
JavaVector,short,100,200000,4755300,23.78,-373001594167259
JavaVector,short,1000,20000,4267800,213.39,-373096496367259
JavaVector,short,10000,2000,4962000,2481.00,-373060137543259
JavaVector,short,100000,200,4314200,21571.00,-373023809981059
JavaVector,short,1000000,20,4269900,213495.00,-373026410792699
JavaVector,short,10000000,2,5862200,2931100.00,-373024098547367
JavaVector,short,100000000,1,30123700,30123700.00,-373020377672475
JavaVector,int,10,2000000,11558400,5.78,-1605160608923672475
JavaVector,int,100,200000,2416500,12.08,-1576671207743672475
JavaVector,int,1000,20000,2314600,115.73,-1333369834322432475
JavaVector,int,10000,2000,2222600,1111.30,-1341280413219386475
JavaVector,int,100000,200,2355800,11779.00,-1348761053089024275
JavaVector,int,1000000,20,3015500,150775.00,-1348323743202163375
JavaVector,int,10000000,2,5807300,2903650.00,-1351463425100254495
JavaVector,int,100000000,1,29741900,29741900.00,-1352371752719832650
JavaVector,float,10,2000000,24184700,12.09,-2399980.996720
JavaVector,float,100,200000,1811100,9.06,-2113224.383820
JavaVector,float,1000,20000,884300,44.22,-2330813.724030
JavaVector,float,10000,2000,1325500,662.75,-2279918.437470
JavaVector,float,100000,200,1190900,5954.50,-2278106.209648
JavaVector,float,1000000,20,2553700,127685.00,-2282197.039116
JavaVector,float,10000000,2,5809300,2904650.00,-2279632.971733
JavaVector,float,100000000,1,26048800,26048800.00,-2280508.134514
JavaVector,double,10,2000000,11529700,5.76,-1934530.177501
JavaVector,double,100,200000,1718200,8.59,-1971725.008285
JavaVector,double,1000,20000,1852800,92.64,-1889264.033581
JavaVector,double,10000,2000,2655700,1327.85,-1838162.806768
JavaVector,double,100000,200,4645000,23225.00,-1847050.242210
JavaVector,double,1000000,20,5273800,263690.00,-1836365.676799
JavaVector,double,10000000,2,11092700,5546350.00,-1836016.392344
JavaVector,double,100000000,1,50967600,50967600.00,-1830589.623981
