lang,type,N,mean_avg_ns,runs
C,double,10,2.382000,5
C,double,100,26.574000,5
C,double,1000,401.030000,5
C,double,10000,4257.200000,5
C,double,100000,44472.800000,5
C,double,1000000,494412.000000,5
C,double,10000000,6613870.000000,5
C,double,100000000,62835660.000000,5
C,float,10,3.686000,5
C,float,100,37.528000,5
C,float,1000,422.886000,5
C,float,10000,4325.190000,5
C,float,100000,43950.100000,5
C,float,1000000,448265.000000,5
C,float,10000000,4923760.000000,5
C,float,100000000,47984480.000000,5
C,int,10,3.268000,5
C,int,100,30.130000,5
C,int,1000,234.730000,5
C,int,10000,2335.060000,5
C,int,100000,23095.600000,5
C,int,1000000,261390.000000,5
C,int,10000000,3912130.000000,5
C,int,100000000,38436940.000000,5
C,short,10,3.198000,5
C,short,100,34.070000,5
C,short,1000,249.062000,5
C,short,10000,2338.390000,5
C,short,100000,21663.800000,5
C,short,1000000,226227.000000,5
C,short,10000000,2805020.000000,5
C,short,100000000,26502080.000000,5
C,signed_char,10,3.140000,5
C,signed_char,100,29.174000,5
C,signed_char,1000,232.284000,5
C,signed_char,10000,2280.580000,5
C,signed_char,100000,21586.400000,5
C,signed_char,1000000,218915.000000,5
C,signed_char,10000000,2278700.000000,5
C,signed_char,100000000,22398680.000000,5
