lang,type,N,avg_ns
C,signed_char,10,13.810000000000
C,signed_char,100,163.920000000000
C,signed_char,1000,1515.510000000000
C,signed_char,10000,15554.450000000000
C,signed_char,100000,152318.000000000000
C,signed_char,1000000,1490440.000000000000
C,signed_char,10000000,13681300.000000000000
C,signed_char,100000000,139798600.000000000000
C,short,10,16.240000000000
C,short,100,164.520000000000
C,short,1000,1541.470000000000
C,short,10000,15879.700000000000
C,short,100000,161201.000000000000
C,short,1000000,1597025.000000000000
C,short,10000000,15729600.000000000000
C,short,100000000,161201600.000000000000
C,int,10,14.940000000000
C,int,100,169.280000000000
C,int,1000,1591.400000000000
C,int,10000,16027.050000000000
C,int,100000,160499.000000000000
C,int,1000000,1604010.000000000000
C,int,10000000,15856000.000000000000
C,int,100000000,155602400.000000000000
C,float,10,14.330000000000
C,float,100,166.210000000000
C,float,1000,1725.840000000000
C,float,10000,17472.950000000000
C,float,100000,165942.500000000000
C,float,1000000,1681210.000000000000
C,float,10000000,17389750.000000000000
C,float,100000000,174705800.000000000000
C,double,10,14.310000000000
C,double,100,164.440000000000
C,double,1000,1706.870000000000
C,double,10000,17205.250000000000
C,double,100000,180851.000000000000
C,double,1000000,1807290.000000000000
C,double,10000000,17705550.000000000000
C,double,100000000,176452300.000000000000
