lang,type,N,reps,total_ns,avg_ns,checksum
Java,signed_char,10,2000000,12413600,6.21,-374030363170000
Java,signed_char,100,200000,4919700,24.60,-374030292970000
Java,signed_char,1000,20000,4426500,221.33,-374030273470000
Java,signed_char,10000,2000,4369500,2184.75,-374030284084000
Java,signed_char,100000,200,4285100,21425.50,-374030285408400
Java,signed_char,1000000,20,4311000,215550.00,-374030285402940
Java,signed_char,10000000,2,4992100,2496050.00,-374030286183352
Java,signed_char,100000000,1,22130700,22130700.00,-374030286567259
Java,short,10,2000000,12071900,6.04,-373052112567259
Java,short,100,200000,4986200,24.93,-373001594167259
Java,short,1000,20000,4500600,225.03,-373096496367259
Java,short,10000,2000,4468100,2234.05,-373060137543259
Java,short,100000,200,4269200,21346.00,-373023809981059
Java,short,1000000,20,4658300,232915.00,-373026410792699
Java,short,10000000,2,5670300,2835150.00,-373024098547367
Java,short,100000000,1,26024700,26024700.00,-373020377672475
Java,int,10,2000000,11783300,5.89,-1605160608923672475
Java,int,100,200000,2279200,11.40,-1576671207743672475
Java,int,1000,20000,2162400,108.12,-1333369834322432475
Java,int,10000,2000,2076900,1038.45,-1341280413219386475
Java,int,100000,200,2112300,10561.50,-1348761053089024275
Java,int,1000000,20,2756900,137845.00,-1348323743202163375
Java,int,10000000,2,5888000,2944000.00,-1351463425100254495
Java,int,100000000,1,28959600,28959600.00,-1352371752719832650
Java,float,10,2000000,16961200,8.48,-2399980.980814
Java,float,100,200000,6148500,30.74,-2113224.255706
Java,float,1000,20000,7971300,398.57,-2330813.528402
Java,float,10000,2000,8222800,4111.40,-2279918.255437
Java,float,100000,200,8255700,41278.50,-2278106.056705
Java,float,1000000,20,8531500,426575.00,-2282196.871913
Java,float,10000000,2,9600500,4800250.00,-2279632.748282
Java,float,100000000,1,49110300,49110300.00,-2280508.113961
Java,double,10,2000000,11095600,5.55,-1934530.156947
Java,double,100,200000,4776300,23.88,-1971724.987732
Java,double,1000,20000,7694400,384.72,-1889264.013028
Java,double,10000,2000,8782800,4391.40,-1838162.786215
Java,double,100000,200,8355200,41776.00,-1847050.221657
Java,double,1000000,20,9523200,476160.00,-1836365.656246
Java,double,10000000,2,12683100,6341550.00,-1836016.371791
Java,double,100000000,1,62109100,62109100.00,-1830589.603428
