lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,11806400,5.90,-374030363170000
JavaVector,signed_char,100,200000,5665400,28.33,-374030292970000
JavaVector,signed_char,1000,20000,4443100,222.16,-374030273470000
JavaVector,signed_char,10000,2000,4589900,2294.95,-374030284084000
JavaVector,signed_char,100000,200,4470600,22353.00,-374030285408400
JavaVector,signed_char,1000000,20,4568600,228430.00,-374030285402940
JavaVector,signed_char,10000000,2,4518600,2259300.00,-374030286183352
JavaVector,signed_char,100000000,1,22952600,22952600.00,-374030286567259
JavaVector,short,10,2000000,10692100,5.35,-373052112567259
JavaVector,short,100,200000,4845300,24.23,-373001594167259
JavaVector,short,1000,20000,4379400,218.97,-373096496367259
JavaVector,short,10000,2000,4205900,2102.95,-373060137543259
JavaVector,short,100000,200,4181200,20906.00,-373023809981059
JavaVector,short,1000000,20,4731500,236575.00,-373026410792699
JavaVector,short,10000000,2,5342800,2671400.00,-373024098547367
JavaVector,short,100000000,1,25888900,25888900.00,-373020377672475
JavaVector,int,10,2000000,12590300,6.30,-1605160608923672475
JavaVector,int,100,200000,2295400,11.48,-1576671207743672475
JavaVector,int,1000,20000,2155400,107.77,-1333369834322432475
JavaVector,int,10000,2000,2115300,1057.65,-1341280413219386475
JavaVector,int,100000,200,2051600,10258.00,-1348761053089024275
JavaVector,int,1000000,20,3063500,153175.00,-1348323743202163375
JavaVector,int,10000000,2,6082900,3041450.00,-1351463425100254495
JavaVector,int,100000000,1,27785200,27785200.00,-1352371752719832650
JavaVector,float,10,2000000,20380200,10.19,-2399980.996720
JavaVector,float,100,200000,1757600,8.79,-2113224.383820
JavaVector,float,1000,20000,979800,48.99,-2330813.724030
JavaVector,float,10000,2000,1059900,529.95,-2279918.437470
JavaVector,float,100000,200,1381800,6909.00,-2278106.209648
JavaVector,float,1000000,20,2026100,101305.00,-2282197.039116
JavaVector,float,10000000,2,5368000,2684000.00,-2279632.971733
JavaVector,float,100000000,1,27224000,27224000.00,-2280508.134514
JavaVector,double,10,2000000,11870800,5.94,-1934530.177501
JavaVector,double,100,200000,1681400,8.41,-1971725.008285
JavaVector,double,1000,20000,1863500,93.18,-1889264.033581
JavaVector,double,10000,2000,2702800,1351.40,-1838162.806768
JavaVector,double,100000,200,4834400,24172.00,-1847050.242210
JavaVector,double,1000000,20,7585100,379255.00,-1836365.676799
JavaVector,double,10000000,2,9884700,4942350.00,-1836016.392344
JavaVector,double,100000000,1,53609800,53609800.00,-1830589.623981
