lang,type,N,median_avg_ns,runs
C,double,10,2.370000,5
C,double,100,26.480000,5
C,double,1000,400.130000,5
C,double,10000,4258.500000,5
C,double,100000,44404.500000,5
C,double,1000000,487290.000000,5
C,double,10000000,6614750.000000,5
C,double,100000000,62395800.000000,5
C,float,10,3.680000,5
C,float,100,37.600000,5
C,float,1000,422.960000,5
C,float,10000,4333.150000,5
C,float,100000,43881.500000,5
C,float,1000000,449040.000000,5
C,float,10000000,4913250.000000,5
C,float,100000000,47797800.000000,5
C,int,10,3.300000,5
C,int,100,30.270000,5
C,int,1000,234.660000,5
C,int,10000,2234.100000,5
C,int,100000,22231.500000,5
C,int,1000000,244305.000000,5
C,int,10000000,3750200.000000,5
C,int,100000000,38062800.000000,5
C,short,10,3.280000,5
C,short,100,34.350000,5
C,short,1000,254.740000,5
C,short,10000,2340.150000,5
C,short,100000,21469.500000,5
C,short,1000000,225990.000000,5
C,short,10000000,2579600.000000,5
C,short,100000000,25811000.000000,5
C,signed_char,10,3.150000,5
C,signed_char,100,29.520000,5
C,signed_char,1000,232.200000,5
C,signed_char,10000,2269.300000,5
C,signed_char,100000,21676.000000,5
C,signed_char,1000000,218780.000000,5
C,signed_char,10000000,2249600.000000,5
C,signed_char,100000000,22485300.000000,5
