lang,type,N,avg_ns
C,signed_char,10,2.890000000000
C,signed_char,100,30.230000000000
C,signed_char,1000,240.810000000000
C,signed_char,10000,2253.250000000000
C,signed_char,100000,21676.000000000000
C,signed_char,1000000,224990.000000000000
C,signed_char,10000000,2249600.000000000000
C,signed_char,100000000,23124700.000000000000
C,short,10,2.850000000000
C,short,100,34.350000000000
C,short,1000,254.740000000000
C,short,10000,2320.350000000000
C,short,100000,21423.500000000000
C,short,1000000,220290.000000000000
C,short,10000000,2641550.000000000000
C,short,100000000,25519200.000000000000
C,int,10,2.930000000000
C,int,100,30.170000000000
C,int,1000,227.540000000000
C,int,10000,2140.700000000000
C,int,100000,22371.500000000000
C,int,1000000,240635.000000000000
C,int,10000000,3984800.000000000000
C,int,100000000,39382500.000000000000
C,float,10,3.670000000000
C,float,100,37.600000000000
C,float,1000,422.960000000000
C,float,10000,4335.600000000000
C,float,100000,43881.500000000000
C,float,1000000,445420.000000000000
C,float,10000000,4893900.000000000000
C,float,100000000,49004500.000000000000
C,double,10,2.360000000000
C,double,100,26.480000000000
C,double,1000,400.130000000000
C,double,10000,4271.550000000000
C,double,100000,44874.500000000000
C,double,1000000,487290.000000000000
C,double,10000000,6734100.000000000000
C,double,100000000,60807300.000000000000
