lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,12508200,6.25,-374030363170000
JavaVector,signed_char,100,200000,5190300,25.95,-374030292970000
JavaVector,signed_char,1000,20000,4495100,224.76,-374030273470000
JavaVector,signed_char,10000,2000,4625200,2312.60,-374030284084000
JavaVector,signed_char,100000,200,4488100,22440.50,-374030285408400
JavaVector,signed_char,1000000,20,4542900,227145.00,-374030285402940
JavaVector,signed_char,10000000,2,4587200,2293600.00,-374030286183352
JavaVector,signed_char,100000000,1,24358000,24358000.00,-374030286567259
JavaVector,short,10,2000000,11617700,5.81,-373052112567259
JavaVector,short,100,200000,5060600,25.30,-373001594167259
JavaVector,short,1000,20000,4611100,230.56,-373096496367259
JavaVector,short,10000,2000,4582100,2291.05,-373060137543259
JavaVector,short,100000,200,4840800,24204.00,-373023809981059
JavaVector,short,1000000,20,5012100,250605.00,-373026410792699
JavaVector,short,10000000,2,5544900,2772450.00,-373024098547367
JavaVector,short,100000000,1,27356500,27356500.00,-373020377672475
JavaVector,int,10,2000000,11131400,5.57,-1605160608923672475
JavaVector,int,100,200000,2374100,11.87,-1576671207743672475
JavaVector,int,1000,20000,2311500,115.58,-1333369834322432475
JavaVector,int,10000,2000,2202600,1101.30,-1341280413219386475
JavaVector,int,100000,200,2229800,11149.00,-1348761053089024275
JavaVector,int,1000000,20,2792400,139620.00,-1348323743202163375
JavaVector,int,10000000,2,6192400,3096200.00,-1351463425100254495
JavaVector,int,100000000,1,31215700,31215700.00,-1352371752719832650
JavaVector,float,10,2000000,21270000,10.64,-2399980.996720
JavaVector,float,100,200000,3286700,16.43,-2113224.383820
JavaVector,float,1000,20000,1107700,55.39,-2330813.724030
JavaVector,float,10000,2000,1444900,722.45,-2279918.437470
JavaVector,float,100000,200,1159000,5795.00,-2278106.209648
JavaVector,float,1000000,20,2904600,145230.00,-2282197.039116
JavaVector,float,10000000,2,6076900,3038450.00,-2279632.971733
JavaVector,float,100000000,1,24976000,24976000.00,-2280508.134514
JavaVector,double,10,2000000,11208400,5.60,-1934530.177501
JavaVector,double,100,200000,2047900,10.24,-1971725.008285
JavaVector,double,1000,20000,2003800,100.19,-1889264.033581
JavaVector,double,10000,2000,2298500,1149.25,-1838162.806768
JavaVector,double,100000,200,4727300,23636.50,-1847050.242210
JavaVector,double,1000000,20,5599100,279955.00,-1836365.676799
JavaVector,double,10000000,2,10252300,5126150.00,-1836016.392344
JavaVector,double,100000000,1,48740300,48740300.00,-1830589.623981
