lang,type,N,reps,total_ns,avg_ns,checksum
Java,signed_char,10,2000000,11645900,5.82,-374030363170000
Java,signed_char,100,200000,4945600,24.73,-374030292970000
Java,signed_char,1000,20000,4389400,219.47,-374030273470000
Java,signed_char,10000,2000,4787700,2393.85,-374030284084000
Java,signed_char,100000,200,4312800,21564.00,-374030285408400
Java,signed_char,1000000,20,4719000,235950.00,-374030285402940
Java,signed_char,10000000,2,4696200,2348100.00,-374030286183352
Java,signed_char,100000000,1,24266100,24266100.00,-374030286567259
Java,short,10,2000000,13163200,6.58,-373052112567259
Java,short,100,200000,4741600,23.71,-373001594167259
Java,short,1000,20000,4503800,225.19,-373096496367259
Java,short,10000,2000,4459000,2229.50,-373060137543259
Java,short,100000,200,4269600,21348.00,-373023809981059
Java,short,1000000,20,4491800,224590.00,-373026410792699
Java,short,10000000,2,5778500,2889250.00,-373024098547367
Java,short,100000000,1,28272300,28272300.00,-373020377672475
Java,int,10,2000000,11895100,5.95,-1605160608923672475
Java,int,100,200000,2323600,11.62,-1576671207743672475
Java,int,1000,20000,2255900,112.80,-1333369834322432475
Java,int,10000,2000,2150400,1075.20,-1341280413219386475
Java,int,100000,200,2138700,10693.50,-1348761053089024275
Java,int,1000000,20,2521500,126075.00,-1348323743202163375
Java,int,10000000,2,5802900,2901450.00,-1351463425100254495
Java,int,100000000,1,30775500,30775500.00,-1352371752719832650
Java,float,10,2000000,15282700,7.64,-2399980.980814
Java,float,100,200000,6284200,31.42,-2113224.255706
Java,float,1000,20000,8048900,402.45,-2330813.528402
Java,float,10000,2000,8210600,4105.30,-2279918.255437
Java,float,100000,200,8276300,41381.50,-2278106.056705
Java,float,1000000,20,8675400,433770.00,-2282196.871913
Java,float,10000000,2,9504200,4752100.00,-2279632.748282
Java,float,100000000,1,46479000,46479000.00,-2280508.113961
Java,double,10,2000000,11841400,5.92,-1934530.156947
Java,double,100,200000,4934500,24.67,-1971724.987732
Java,double,1000,20000,7720500,386.03,-1889264.013028
Java,double,10000,2000,8492900,4246.45,-1838162.786215
Java,double,100000,200,8451100,42255.50,-1847050.221657
Java,double,1000000,20,9131200,456560.00,-1836365.656246
Java,double,10000000,2,12450500,6225250.00,-1836016.371791
Java,double,100000000,1,61309900,61309900.00,-1830589.603428
