lang,type,N,median_avg_ns,runs
C,double,10,2.360000,5
C,double,100,26.620000,5
C,double,1000,401.620000,5
C,double,10000,4250.850000,5
C,double,100000,45340.000000,5
C,double,1000000,494605.000000,5
C,double,10000000,6474300.000000,5
C,double,100000000,60994700.000000,5
C,float,10,3.780000,5
C,float,100,43.340000,5
C,float,1000,432.650000,5
C,float,10000,4330.850000,5
C,float,100000,42913.000000,5
C,float,1000000,444505.000000,5
C,float,10000000,5071950.000000,5
C,float,100000000,48668400.000000,5
C,int,10,2.800000,5
C,int,100,29.590000,5
C,int,1000,261.900000,5
C,int,10000,2242.150000,5
C,int,100000,21697.000000,5
C,int,1000000,245715.000000,5
C,int,10000000,3925200.000000,5
C,int,100000000,37318300.000000,5
C,short,10,2.370000,5
C,short,100,13.690000,5
C,short,1000,133.990000,5
C,short,10000,1302.300000,5
C,short,100000,13303.500000,5
C,short,1000000,161395.000000,5
C,short,10000000,1946850.000000,5
C,short,100000000,18892400.000000,5
C,signed_char,10,3.100000,5
C,signed_char,100,17.220000,5
C,signed_char,1000,170.630000,5
C,signed_char,10000,1721.000000,5
C,signed_char,100000,17242.000000,5
C,signed_char,1000000,180270.000000,5
C,signed_char,10000000,1825100.000000,5
C,signed_char,100000000,17833200.000000,5
