lang,type,N,mean_avg_ns,runs
C,double,10,14.244000,5
C,double,100,162.796000,5
C,double,1000,1712.928000,5
C,double,10000,17175.970000,5
C,double,100000,173736.500000,5
C,double,1000000,1746725.000000,5
C,double,10000000,17521970.000000,5
C,double,100000000,172352200.000000,5
C,float,10,14.356000,5
C,float,100,166.076000,5
C,float,1000,1708.948000,5
C,float,10000,17253.720000,5
C,float,100000,170930.600000,5
C,float,1000000,1732556.000000,5
C,float,10000000,17282360.000000,5
C,float,100000000,170768240.000000,5
C,int,10,14.520000,5
C,int,100,162.612000,5
C,int,1000,1555.294000,5
C,int,10000,16180.220000,5
C,int,100000,161423.200000,5
C,int,1000000,1540458.000000,5
C,int,10000000,15656200.000000,5
C,int,100000000,153789980.000000,5
C,short,10,14.778000,5
C,short,100,167.902000,5
C,short,1000,1590.792000,5
C,short,10000,15915.770000,5
C,short,100000,163219.400000,5
C,short,1000000,1623338.000000,5
C,short,10000000,15794890.000000,5
C,short,100000000,155205240.000000,5
C,signed_char,10,14.474000,5
C,signed_char,100,166.766000,5
C,signed_char,1000,1569.094000,5
C,signed_char,10000,15949.240000,5
C,signed_char,100000,153391.200000,5
C,signed_char,1000000,1452143.000000,5
C,signed_char,10000000,13749640.000000,5
C,signed_char,100000000,142545560.000000,5
