lang,type,N,avg_ns
C,signed_char,10,6.210000000000
C,signed_char,100,15.590000000000
C,signed_char,1000,156.250000000000
C,signed_char,10000,1635.000000000000
C,signed_char,100000,20035.000000000000
C,signed_char,1000000,223200.000000000000
C,signed_char,10000000,1747500.000000000000
C,signed_char,100000000,21164000.000000000000
C,short,10,5.490000000000
C,short,100,15.210000000000
C,short,1000,156.650000000000
C,short,10000,1596.000000000000
C,short,100000,15220.000000000000
C,short,1000000,220350.000000000000
C,short,10000000,2624500.000000000000
C,short,100000000,32613000.000000000000
C,int,10,5.710000000000
C,int,100,15.180000000000
C,int,1000,156.100000000000
C,int,10000,2026.000000000000
C,int,100000,18920.000000000000
C,int,1000000,397200.000000000000
C,int,10000000,4500500.000000000000
C,int,100000000,57694000.000000000000
C,float,10,8.120000000000
C,float,100,17.440000000000
C,float,1000,127.650000000000
C,float,10000,1682.500000000000
C,float,100000,18265.000000000000
C,float,1000000,315450.000000000000
C,float,10000000,3881000.000000000000
C,float,100000000,53143000.000000000000
C,double,10,5.100000000000
C,double,100,10.710000000000
C,double,1000,98.250000000000
C,double,10000,1696.500000000000
C,double,100000,26355.000000000000
C,double,1000000,990100.000000000000
C,double,10000000,10773500.000000000000
C,double,100000000,128865000.000000000000
