lang,type,N,avg_ns
C,signed_char,10,10.750000000000
C,signed_char,100,64.040000000000
C,signed_char,1000,584.050000000000
C,signed_char,10000,5910.000000000000
C,signed_char,100000,61215.000000000000
C,signed_char,1000000,664550.000000000000
C,signed_char,10000000,6228500.000000000000
C,signed_char,100000000,69425000.000000000000
C,short,10,5.360000000000
C,short,100,70.500000000000
C,short,1000,652.900000000000
C,short,10000,6322.500000000000
C,short,100000,65095.000000000000
C,short,1000000,740200.000000000000
C,short,10000000,7774500.000000000000
C,short,100000000,80830000.000000000000
C,int,10,7.770000000000
C,int,100,66.760000000000
C,int,1000,601.250000000000
C,int,10000,5737.000000000000
C,int,100000,61600.000000000000
C,int,1000000,759500.000000000000
C,int,10000000,8499000.000000000000
C,int,100000000,92816000.000000000000
C,float,10,8.560000000000
C,float,100,116.770000000000
C,float,1000,1256.000000000000
C,float,10000,12788.500000000000
C,float,100000,134210.000000000000
C,float,1000000,1463400.000000000000
C,float,10000000,14014000.000000000000
C,float,100000000,159598000.000000000000
C,double,10,8.040000000000
C,double,100,84.330000000000
C,double,1000,1214.850000000000
C,double,10000,12877.500000000000
C,double,100000,135990.000000000000
C,double,1000000,1487950.000000000000
C,double,10000000,15835500.000000000000
C,double,100000000,180014000.000000000000
