lang,type,N,mean_avg_ns,runs
C,double,10,4.084000,5
C,double,100,82.404000,5
C,double,1000,1269.070000,5
C,double,10000,13054.800000,5
C,double,100000,145448.000000,5
C,double,1000000,1496290.000000,5
C,double,10000000,17059400.000000,5
C,double,100000000,180146800.000000,5
C,float,10,8.008000,5
C,float,100,125.328000,5
C,float,1000,1296.750000,5
C,float,10000,15297.500000,5
C,float,100000,166242.000000,5
C,float,1000000,1652200.000000,5
C,float,10000000,17002600.000000,5
C,float,100000000,168454000.000000,5
C,int,10,4.362000,5
C,int,100,39.704000,5
C,int,1000,402.860000,5
C,int,10000,3903.500000,5
C,int,100000,42156.000000,5
C,int,1000000,615580.000000,5
C,int,10000000,6889500.000000,5
C,int,100000000,108672600.000000,5
C,short,10,4.990000,5
C,short,100,43.376000,5
C,short,1000,418.240000,5
C,short,10000,4104.000000,5
C,short,100000,44141.000000,5
C,short,1000000,470340.000000,5
C,short,10000000,5264900.000000,5
C,short,100000000,57806000.000000,5
C,signed_char,10,4.476000,5
C,signed_char,100,39.976000,5
C,signed_char,1000,392.800000,5
C,signed_char,10000,3974.100000,5
C,signed_char,100000,40991.000000,5
C,signed_char,1000000,440570.000000,5
C,signed_char,10000000,4532900.000000,5
C,signed_char,100000000,53131800.000000,5
