lang,type,N,mean_avg_ns,runs
C,double,10,8.440000,5
C,double,100,84.470000,5
C,double,1000,1229.500000,5
C,double,10000,13132.400000,5
C,double,100000,136560.000000,5
C,double,1000000,1489960.000000,5
C,double,10000000,17094700.000000,5
C,double,100000000,200033800.000000,5
C,float,10,8.538000,5
C,float,100,117.658000,5
C,float,1000,1284.630000,5
C,float,10000,12936.600000,5
C,float,100000,133261.000000,5
C,float,1000000,1477090.000000,5
C,float,10000000,14948300.000000,5
C,float,100000000,179024400.000000,5
C,int,10,7.888000,5
C,int,100,69.822000,5
C,int,1000,617.410000,5
C,int,10000,6149.100000,5
C,int,100000,60524.000000,5
C,int,1000000,792080.000000,5
C,int,10000000,11727400.000000,5
C,int,100000000,99411400.000000,5
C,short,10,5.782000,5
C,short,100,71.948000,5
C,short,1000,636.240000,5
C,short,10000,8237.000000,5
C,short,100000,92787.000000,5
C,short,1000000,744490.000000,5
C,short,10000000,7978600.000000,5
C,short,100000000,83317600.000000,5
C,signed_char,10,9.632000,5
C,signed_char,100,72.306000,5
C,signed_char,1000,642.740000,5
C,signed_char,10000,6210.700000,5
C,signed_char,100000,62309.000000,5
C,signed_char,1000000,661260.000000,5
C,signed_char,10000000,6935500.000000,5
C,signed_char,100000000,74166400.000000,5
