lang,type,N,median_avg_ns,runs
C,double,10,3.630000,5
C,double,100,78.960000,5
C,double,1000,1228.700000,5
C,double,10000,12925.000000,5
C,double,100000,134510.000000,5
C,double,1000000,1459200.000000,5
C,double,10000000,16208500.000000,5
C,double,100000000,189428000.000000,5
C,float,10,8.120000,5
C,float,100,126.750000,5
C,float,1000,1322.850000,5
C,float,10000,14203.000000,5
C,float,100000,140750.000000,5
C,float,1000000,1521200.000000,5
C,float,10000000,14543000.000000,5
C,float,100000000,166011000.000000,5
C,int,10,4.370000,5
C,int,100,39.240000,5
C,int,1000,413.800000,5
C,int,10000,4179.000000,5
C,int,100000,45295.000000,5
C,int,1000000,576050.000000,5
C,int,10000000,7162000.000000,5
C,int,100000000,98125000.000000,5
C,short,10,4.330000,5
C,short,100,40.540000,5
C,short,1000,382.350000,5
C,short,10000,3965.000000,5
C,short,100000,40945.000000,5
C,short,1000000,440550.000000,5
C,short,10000000,5038000.000000,5
C,short,100000000,60844000.000000,5
C,signed_char,10,4.870000,5
C,signed_char,100,43.700000,5
C,signed_char,1000,408.300000,5
C,signed_char,10000,4202.500000,5
C,signed_char,100000,44875.000000,5
C,signed_char,1000000,442350.000000,5
C,signed_char,10000000,5054000.000000,5
C,signed_char,100000000,50369000.000000,5
