lang,type,N,median_avg_ns,runs
C,double,10,27.200000,5
C,double,100,287.810000,5
C,double,1000,2894.450000,5
C,double,10000,29307.000000,5
C,double,100000,317215.000000,5
C,double,1000000,3262750.000000,5
C,double,10000000,34666000.000000,5
C,double,100000000,410816000.000000,5
C,float,10,26.590000,5
C,float,100,291.370000,5
C,float,1000,2950.450000,5
C,float,10000,29773.000000,5
C,float,100000,303575.000000,5
C,float,1000000,3276050.000000,5
C,float,10000000,33866500.000000,5
C,float,100000000,360509000.000000,5
C,int,10,24.830000,5
C,int,100,180.490000,5
C,int,1000,1690.900000,5
C,int,10000,19464.500000,5
C,int,100000,196755.000000,5
C,int,1000000,2095700.000000,5
C,int,10000000,22391000.000000,5
C,int,100000000,220543000.000000,5
C,short,10,24.490000,5
C,short,100,181.070000,5
C,short,1000,1691.700000,5
C,short,10000,16979.000000,5
C,short,100000,183225.000000,5
C,short,1000000,1873550.000000,5
C,short,10000000,20350500.000000,5
C,short,100000000,244462000.000000,5
C,signed_char,10,24.560000,5
C,signed_char,100,177.870000,5
C,signed_char,1000,1673.750000,5
C,signed_char,10000,16246.500000,5
C,signed_char,100000,174230.000000,5
C,signed_char,1000000,1707550.000000,5
C,signed_char,10000000,19021000.000000,5
C,signed_char,100000000,200421000.000000,5
